Price,Close,High,Low,Open,Volume
Ticker,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS
Date,,,,,
2021-01-13,283.1274719238281,289.4056104423214,279.45551662303035,289.10526885601075,5903480
2021-01-14,283.5053405761719,287.19666267810453,281.44168200940567,284.54201884810664,5618095
2021-01-15,279.2616882324219,284.84228116151445,278.4478566914284,284.5419396249691,4983220
2021-01-18,275.802978515625,283.26311756889436,274.7081715541745,280.6666025602344,6329360
2021-01-19,279.7073974609375,280.5502934073974,277.63404137318827,278.64165505915037,2887500
2021-01-20,281.4901428222656,282.59461823485276,278.44793470683487,280.9669546968278,2870575
2021-01-21,281.8388671875,287.390396370183,280.96690683829803,282.9046096440794,6042200
2021-01-22,277.5661926269531,283.3793002835218,275.75444547137505,281.74193926156204,4410035
2021-01-25,276.3648681640625,280.0852540770217,274.58218509537363,277.6728234973448,3497400
2021-01-27,278.6900634765625,279.7364394115908,275.5897571352439,277.6243211601427,4115535
2021-01-28,282.33294677734375,290.4034646937102,277.6727746224982,278.35095275842326,14139780
2021-01-29,282.1489562988281,286.57661508394403,280.0368669655662,284.4548277735101,7003680
2021-02-01,282.88525390625,290.20976842239463,281.1897638873832,284.7938924244543,12208490
2021-02-02,284.9391784667969,286.39245544343777,283.1661639977773,284.4547528079166,5315880
2021-02-03,284.71630859375,290.26783683186903,283.32116044560485,286.27617446184,9312665
2021-02-04,294.3176574707031,298.40621128857055,283.7281194713794,285.77238159681497,11025600
2021-02-05,301.31280517578125,303.83182489450934,293.56199346707945,300.2858249897383,15029430
2021-02-08,313.6559143066406,315.6517456441359,302.66914397585754,304.18054965732006,24263805
2021-02-09,318.1223449707031,327.2586060558646,308.48226226338016,314.68290495654924,26576235
2021-02-10,313.59783935546875,324.37146306191255,312.1833244761121,319.4109482244421,15255270
2021-02-11,313.71405029296875,317.1922526028766,312.3092335981027,315.07046581490323,5604990
2021-02-12,335.59075927734375,342.5277389861141,315.07049331696095,315.3514389402597,36497695
2021-02-15,331.9478759765625,338.1291529007109,325.9216188310102,335.99766790376333,14605000
2021-02-16,324.4005126953125,335.9492348001574,322.04621080634723,332.8973586959062,8881850
2021-02-17,329.1478576660156,335.22254457827256,321.0773099052124,323.9838637599373,10460450
2021-02-18,329.6419677734375,334.44749166890784,326.7063494198439,326.7063494198439,4680520
2021-02-19,324.64263916015625,332.3643842183044,320.87382345901034,329.9810186032537,4986820
2021-02-22,313.1037292480469,324.56522864102493,309.6449225512254,324.56522864102493,8588995
2021-02-23,316.407470703125,318.1901832614644,308.63729327885335,312.92929779661074,4687445
2021-02-24,324.65240478515625,328.8281518599948,315.86491568847373,317.39571742360573,3235425
2021-02-25,334.631591796875,337.11184896036104,323.59636040410896,326.5029145394752,9537220
2021-02-26,340.96783447265625,350.7144762870525,325.5340401986049,328.4405941289496,25638605
2021-03-01,375.6139831542969,382.66721981665677,344.0487895375211,346.4515515354447,33081285
2021-03-02,367.7081604003906,385.2153118060268,362.3601114657187,381.82433200063394,27796385
2021-03-03,365.4701232910156,373.9766373305169,364.2881234100372,367.96974687302026,9159855
2021-03-04,380.0028991699219,390.6021359036985,362.3504253919445,365.2569796063184,47960940
2021-03-05,376.0791015625,387.23056227525376,367.3885023832705,381.7177948485373,17979140
2021-03-08,390.5343017578125,392.7723460948182,373.3178232672844,379.7897434317251,20916905
2021-03-09,392.7142028808594,401.68577584832195,390.44709426862954,397.22905372242707,23912320
2021-03-10,391.1253662109375,396.802821864432,388.8969899988923,396.26026738447354,8479065
2021-03-12,385.0893859863281,399.88373694422023,380.7586188337075,393.3536876500897,12514795
2021-03-15,377.2804260253906,388.79038535160333,371.07008502304865,388.79038535160333,10548415
2021-03-16,368.9483337402344,375.85624959837475,366.2258634172283,373.70539810673637,11025335
2021-03-17,353.43695068359375,371.93234845234014,348.98025825290375,369.1323539376628,11818755
2021-03-18,342.32427978515625,360.4127498927484,337.1603144157969,356.14980930204075,18337275
2021-03-19,359.53106689453125,363.3192794631064,329.9907968070905,339.097994165566,24535040
2021-03-22,356.1594543457031,364.09434979701035,349.59064293708605,359.8314094859695,11250950
2021-03-23,356.95391845703125,360.60650720141035,354.79339873217964,358.1843786725642,6601325
2021-03-24,341.1422119140625,355.91719401658685,339.1754449873571,354.54144174881975,10445515
2021-03-25,333.64337158203125,342.7796337272593,330.3783469020187,342.7796337272593,10838460
2021-03-26,338.5942077636719,342.9734055749155,332.9554853555977,339.0979998622046,8880665
2021-03-30,340.11529541015625,343.7484884086994,337.23780537263,337.23780537263,7365165
2021-03-31,340.45440673828125,343.9325800297959,336.19146610738034,340.7838126959371,5430005
2021-04-01,339.4371032714844,344.80454845437936,339.0979993587258,341.0357022122043,4724735
2021-04-05,329.9230041503906,336.7630934587493,325.0303158423074,334.4475537202491,8114150
2021-04-06,327.1907958984375,333.091097338225,326.1153850435542,329.922963924841,5058525
2021-04-07,331.1534118652344,333.55617409143804,324.177699205836,326.34791697982666,7335430
2021-04-08,334.5249938964844,337.00525099417683,325.5340545256001,329.17694507339695,9702175
2021-04-09,335.39697265625,339.8149327025564,332.3160322810361,335.22258649923754,6254115
2021-04-12,306.5445861816406,328.9638224378939,304.8878585170296,325.57284243684256,14036295
2021-04-13,312.2898254394531,314.48913680572366,306.55424232080725,306.55424232080725,6131320
2021-04-15,311.6019592285156,316.40745353429065,307.9009400612834,308.50165272062685,5790815
